"PRODUCTID","PARENTSKU","VARIATIONSKU","VARIATIONID","featured_image","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured","downloadable_files","download_limit","download_expiry","price","sale_price_dates_from","sale_price_dates_to","regular_price","sale_price","purchase_note","default_attributes","custom_attributes","comment_status","tax_status","tax_class","weight","length","width","height","downloadable","virtual","stock","stock_status","low_stock_threshold","stock_qty","sold_individually","manage_stock","backorders","thumbnail_id","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_subscription_sign_up_fee","variation_description","variation_shipping_class"
"AUTO-DRAFT",,,"153",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"154",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"155",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"156",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"157",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"158",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"162",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"163",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"164",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"165",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"166",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"AUTO-DRAFT",,,"167",,,,,,,,,"-1","-1",,,,,,,,"|","closed",,,,,,,"no","no",,"instock",,,"no","no",,,,,,,,,,,
"Columbia River Tackle &#8211; MatSu Spinners Size 5 &#8211; Orange, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSu Spinners Red","170","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/matsu_orange-2.jpg",,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed",,,"0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color Red","Lures Hooks"
"Columbia River Tackle &#8211; MatSu Spinners Size 5 &#8211; Orange, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSu Spinners Pink","171","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/matsu_pink-3.jpg",,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed",,,"0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color Pink","Lures Hooks"
"Columbia River Tackle &#8211; MatSu Spinners Size 5 &#8211; Orange, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSu Spinners Black","172","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/matsu_black-5.jpg",,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed",,,"0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color Black","Lures Hooks"
"Columbia River Tackle &#8211; MatSu Spinners Size 5 &#8211; Orange, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSu Spinners Blue","173","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/matsu_blue.jpg",,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed",,,"0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color Blue","Lures Hooks"
"Columbia River Tackle &#8211; MatSu Spinners Size 5 &#8211; Orange, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSu Spinners Yellow","174","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/matsu_yellow-23.jpg",,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed",,,"0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color Yellow","Lures Hooks"
"Columbia River Tackle &#8211; MatSu Spinners Size 5 &#8211; Orange, Blue, Black, Pink, Yellow, D-Fly &#8211; AKRDY",,"MatSu Spinners Dfly","175","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/matsu_dfly-2.jpg",,,,,,,,"-1","-1","4.25",,,"5.25","4.25",,,"|","closed",,,"0.06","5.75","1","0.75","no","no","9","instock",,,"no","yes","no",,,,,,,,,"Columbia River Tackle MatSu Spinner Size 5 Color D-Fly. This is a Turquoise body, red beads, and orange hoochie. ","Lures Hooks"
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","177","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","1","instock",,,"no","yes","no",,,,,,,,,"Color: Red 
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","182","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","1","instock",,,"no","yes","no",,,,,,,,,"Color: Red
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","183","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","1","instock",,,"no","yes","no",,,,,,,,,"Color: Red
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","184","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes","no",,,,,,,,,"Color: Red
Size: 3T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","185","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Red
Size: 4T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","186","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyred-3.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Red
Size: 5T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","187","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","188","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","189","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","190","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 3T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","191","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 4T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","192","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddypink-7.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Pink
Size: 5T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","193","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyyellow-9.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Yellow 
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","194","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyyellow-9.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Yellow 
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","195","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyyellow-9.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Yellow 
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","196","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyyellow-9.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Yellow 
Size: 3T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","197","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyyellow-9.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Yellow 
Size: 4T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","198","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyyellow-9.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Yellow 
Size: 5T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","199","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyblue-5.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Blue
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","200","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyblue-5.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Blue
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","201","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyblue-5.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Blue
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","202","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyblue-5.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Blue
Size: 3T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","203","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyblue-5.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Blue
Size: 4T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","204","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddyblue-5.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Blue
Size: 5T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","205","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddycamo-1.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Camo
Size: 12 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","206","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddycamo-1.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Camo
Size: 18 Months",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","207","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddycamo-1.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","2","instock",,,"no","yes","no",,,,,,,,,"Color: Camo
Size: 2T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","208","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddycamo-1.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Camo
Size: 3T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","209","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddycamo-1.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Camo
Size: 4T",
"Tuffo &#8211; Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo &#8211; AKRDY",,"6.98631E+11","210","https://adb1776bd1.nxcli.net/wp-content/uploads/2020/05/muddybuddycamo-1.jpg",,,,,,,,"-1","-1","37.5",,,"39.95","37.5",,,"|","closed",,,"0.55","10","10","1","no","no","0","outofstock",,,"no","yes",,,,,,,,,,"Color: Camo
Size: 5T",
